T,TM,Tm,SLP,H,VV,V,VM,PM2.5
16.9,25.1,6.6,1021.3,65,1.1,2,7.6,284.79583333333335
15.5,24.1,7.7,1021,71,1.1,3.5,11.1,219.72083333333333
14.9,22.8,8,1018.4,73,1.1,5.9,13,182.1875
18.6,26.5,11,1017.1,75,1,1.9,5.4,0.0
18.7,26.5,11.6,1016.6,78,1,3.5,11.1,12.379166666666668
18.3,24.7,11.5,1018.1,85,0.5,1.1,7.6,154.03750000000002
16.5,24.7,12,1017.4,82,0.6,8,13,223.20833333333334
16.6,22.2,10.2,1015.4,65,1.8,10,20.6,200.64583333333337
17.6,24.4,8.7,1017.5,68,2.1,4.8,13,154.875
17.4,25.5,8.5,1017.5,67,1.6,2.6,9.4,129.38749999999996
18,25.5,8.5,1014.8,69,1.6,5.9,14.8,224.2458333333333
18.2,25.1,12,1014.4,77,0.6,5,11.1,285.22499999999997
15.6,23.2,10.9,1015.6,82,0.6,4.3,9.4,236.82499999999996
13,19,9.6,1016.9,85,0.8,10.7,16.5,276.90833333333336
13.6,17,10.4,1014.8,82,1.1,11.3,24.1,245.65
14.1,19,9.2,1016.1,78,1,2,5.4,218.67083333333326
13.3,19.2,6,1014.8,81,0.6,1.5,7.6,47.82500000000001
12.3,19,8.9,1015.8,91,0.5,4.6,9.4,108.0
11.9,15.7,7.5,1018.9,86,0.8,6.1,11.1,107.625
12,17,6.7,1019.8,75,1.3,7.6,13,125.89166666666667
11.8,17.3,4.2,1019.8,84,0.6,3.5,7.6,179.3083333333333
14.4,22,4.6,1020,76,1,3.1,7.6,239.85
11.1,22.2,7.5,1019.6,89,0.5,6.5,11.1,220.1916666666667
11.7,18,6.4,1017.3,76,0.8,4.4,13,181.01250000000005
14.6,21,6.8,1015.6,81,0.6,2.4,7.6,152.55416666666667
17.7,24,9,1014.5,69,1.4,4.4,9.4,152.32083333333335
16.8,24.2,9,1015.7,68,1.1,5,13,171.42916666666665
19.6,29,11.5,1017.8,71,1,2.6,7.6,251.375
20.1,27,13,1014.5,79,0.8,1.1,5.4,251.82916666666668
17.4,27.2,12.2,1016.4,79,1.1,7.8,18.3,319.7375
